,word_1,word_2,word_3,word_4,word_5,combined_words,Technical,Soft
105597,textiles,,,,,textiles,0,0
180807,events,pipelines,datasets,models,,events pipelines datasets models,1,0
100270,enterprise,platform,data,analyst,,enterprise platform data analyst,0,0
132286,oracle,dba,ms,sql,msca,oracle dba ms sql msca,1,0
205107,supervision,work,,,,supervision work,0,1
79478,end,user,adoption,,,end user adoption,0,1
77101,crew,members,,,,crew members,0,0
115626,simulation,environments,,,,simulation environments,1,0
197042,infrastructure,automation,,,,infrastructure automation,1,0
130145,odds,,,,,odds,0,0
293,strategy,recommendations,,,,strategy recommendations,0,1
215605,disability,insurance,experience,,,disability insurance experience,1,0
103877,offline,data,,,,offline data,1,0
49951,amazing,experience,,,,amazing experience,0,0
56250,payments,cybersecurity,machine,learning,,payments cybersecurity machine learning,1,0
104387,flag,,,,,flag,0,0
135595,robotics,industry,,,,robotics industry,0,0
52316,data,relationships,,,,data relationships,1,0
54709,development,engineers,economists,,,development engineers economists,0,0
877,pace,,,,,pace,0,0
16750,years,development,experience,,,years development experience,0,1
6131,breakthrough,,,,,breakthrough,0,0
160089,reptrak,companyâ„¢,,,,reptrak companyâ„¢,0,0
340,frontend,development,skills,experience,,frontend development skills experience,1,0
65885,customer,roster,,,,customer roster,0,1
143172,highfrequency,trading,engines,machine,,highfrequency trading engines machine,1,0
137052,counseling,,,,,counseling,0,1
1263,machine,intelligence,,,,machine intelligence,1,0
57032,uniformity,,,,,uniformity,1,0
58479,camera,company,,,,camera company,0,0
53438,interpretation,pipelines,,,,interpretation pipelines,1,0
173564,pressing,,,,,pressing,0,0
82522,processing,frameworks,experience,,,processing frameworks experience,1,0
191094,project,versatile,,,,project versatile,0,1
271,leaders,job,,,,leaders job,0,1
88415,cusp,,,,,cusp,0,0
153984,knowledge,work,standards,,,knowledge work standards,0,1
189098,project,exposure,,,,project exposure,0,1
63945,skills,information,management,,,skills information management,0,1
132141,m2m,,,,,m2m,1,0
109155,bs/msc,,,,,bs/msc,0,0
66312,qbo,business,,,,qbo business,1,0
114231,generate,reports,,,,generate reports,1,0
152939,duluth,georgia,,,,duluth georgia,0,0
1613,ml,,,,,ml,1,0
91536,science,tasks,,,,science tasks,0,0
157071,flexibility,agility,,,,flexibility agility,0,1
78185,root,cause,identification,skills,,root cause identification skills,0,1
50154,magazine,,,,,magazine,0,0
91652,pulp,,,,,pulp,0,0
126529,knowledge/experience,,,,,knowledge/experience,0,0
126566,state,computers,inc.,,,state computers inc.,0,0
57548,privacy,policy,view,,,privacy policy view,0,0
57875,problems,probes,sources,,,problems probes sources,0,0
178793,fire,fight,,,,fire fight,0,1
12036,schools,background,,,,schools background,0,0
168879,results,orientation,,,,results orientation,0,1
59490,policies,â€“,,,,policies â€“,0,0
60072,procedures,applies,,,,procedures applies,0,0
99366,nursing,,,,,nursing,0,0
163840,experience,finance,experience,,,experience finance experience,0,0
94164,business,analysis,expertise,,,business analysis expertise,0,1
201392,laboratory,soil,,,,laboratory soil,0,0
6260,worldclass,influenza,surveillance,system,,worldclass influenza surveillance system,1,0
160519,'accomplishes,,,,,'accomplishes,0,1
2347,option,,,,,option,0,0
84794,data,engineer/analyst,,,,data engineer/analyst,0,0
148504,consumer,safety,activities,health,promotion,consumer safety activities health promotion,0,0
13855,'performs,,,,,'performs,0,0
87879,culture,empowers,,,,culture empowers,0,1
187693,level,jobs,,,,level jobs,0,0
118923,maintenance,promotion,claim,review,etc,maintenance promotion claim review etc,0,1
91340,test,verify,,,,test verify,0,1
190758,shaders,,,,,shaders,0,0
66695,analysis,enhance,data,collection,procedures,analysis enhance data collection procedures,0,1
11278,index,requests,,,,index requests,1,0
57753,people,analytics,analyst,,,people analytics analyst,0,1
64356,industry,standard,ba,tools,,industry standard ba tools,1,0
9176,media,communications,agency,,,media communications agency,0,0
14365,orientation,gender,identity,age,,orientation gender identity age,0,0
197417,crossorganization,activities,,,,crossorganization activities,0,1
137010,employees,cost,,,,employees cost,0,0
143086,data,purchases,,,,data purchases,0,0
129375,master,â€™,s,classes,,master â€™ s classes,0,0
192744,data,exchange,applications,,,data exchange applications,1,0
213149,data,visibilityâ€”both,,,,data visibilityâ€”both,0,0
54704,data,metrics,,,,data metrics,1,0
151195,zendesk,â€™,s,platform,,zendesk platform,1,0
152876,sophomore,year,,,,sophomore year,0,0
144525,fellow,data,scientists,,,fellow data scientists,0,0
99857,diego,california,,,,diego california,0,0
95218,building,machine,learning,models,,building machine learning models,1,0
77445,health,management,programs,,,health management programs,0,1
51200,journey,baselines,,,,journey baselines,1,0
75648,business,technology,stack,,,business technology stack,1,0
98228,brainstorming,,,,,brainstorming,0,1
55150,interpersonal,,,,,interpersonal,0,1
51279,field,expert,,,,field expert,0,1
51613,writes,,,,,writes,0,1
94085,employment,opportunity,statement,travelers,,employment opportunity statement travelers,0,0
189649,measure,results,,,,measure results,0,1
105291,jobs,â€,,,,jobs â€,0,0
145804,oracle,sql,server,proficient,,oracle sql server proficient,1,0
74447,queries,views,,,,queries views,1,0
197875,business,interests,,,,business interests,0,1
88070,communication,skills,description,,,communication skills description,0,1
83471,accrual,,,,,accrual,0,0
54798,recommendation,system,,,,recommendation system,1,0
176613,integrate,ai,,,,integrate ai,0,1
133781,data,ecosystems,experience,,,data ecosystems experience,1,0
154109,action,statement,,,,action statement,0,0
50280,viewing,,,,,viewing,0,0
50124,plan,requirements,,,,plan requirements,0,1
137915,unitedhealth,group,family,,,unitedhealth group family,0,0
176128,time,series,classification,,,time series classification,1,0
192389,bag,sessions,consolidation,,,bag sessions consolidation,0,0
3143,methods,development,,,,methods development,1,0
10339,data,strategy/partnerships,,,,data strategy/partnerships,0,1
89028,data,schemas,,,,data schemas,1,0
140074,data,quality,protocols,,,data quality protocols,1,0
60728,day,browser,,,,day browser,0,1
157624,business,application,translate,,,business application translate,0,1
